,Iteration,distance,best_run,states,best_score
855,855,1928,11696,10519,77
856,856,2024,11696,10519,77
857,857,2616,11696,10519,77
858,858,2020,11696,10519,77
859,859,3060,11696,10519,77
860,860,2616,11696,10519,77
861,861,3204,11696,10519,77
862,862,3360,11696,10519,77
863,863,5432,11696,10519,77
864,864,3060,11696,10519,77
865,865,2836,11696,10519,77
866,866,4688,11696,10519,77
867,867,4096,11696,10519,77
868,868,4836,11696,10519,77
869,869,2768,11696,10519,77
870,870,2912,11696,10519,77
871,871,2468,11696,10519,77
872,872,2692,11696,10523,77
873,873,1432,11696,10525,77
874,874,1952,11696,10525,77
875,875,1584,11696,10525,77
876,876,3064,11696,10525,77
877,877,3064,11696,10525,77
878,878,1728,11696,10525,77
879,879,7208,11696,10525,77
880,880,1184,11696,10525,77
881,881,4324,11696,10534,77
882,882,1432,11696,10534,77
883,883,1340,11696,10535,77
884,884,3356,11696,10535,77
885,885,3952,11696,10535,77
886,886,2912,11696,10544,77
887,887,2612,11696,10549,77
888,888,2224,11696,10549,77
889,889,2912,11696,10549,77
890,890,3504,11696,10550,77
891,891,1432,11696,10550,77
892,892,3652,11696,10553,77
893,893,3208,11696,10553,77
894,894,6100,11696,10557,77
895,895,2024,11696,10557,77
896,896,4392,11696,10557,77
897,897,1760,11696,10557,77
898,898,2916,11696,10557,77
899,899,6912,11696,10557,77
900,900,6384,11696,10557,77
901,901,5772,11696,10557,77
902,902,4388,11696,10557,77
903,903,1060,11696,10557,77
904,904,1072,11696,10558,77
905,905,1040,11696,10558,77
906,906,2388,11696,10558,77
907,907,1504,11696,10558,77
908,908,1728,11696,10558,77
909,909,7796,11696,10559,77
910,910,4544,11696,10559,77
911,911,9716,11696,10559,77
912,912,9280,11696,10559,77
913,913,5348,11696,10559,77
914,914,7720,11696,10559,77
915,915,15272,11696,10559,77
916,916,8908,15272,10559,101
917,917,6756,15272,10559,101
918,918,4984,15272,10559,101
919,919,6756,15272,10573,101
920,920,1448,15272,10573,101
921,921,1432,15272,10575,101
922,922,1504,15272,10576,101
923,923,2396,15272,10576,101
924,924,2324,15272,10578,101
925,925,11056,15272,10578,101
926,926,7944,15272,10578,101
927,927,8984,15272,10578,101
928,928,5136,15272,10578,101
929,929,1880,15272,10578,101
930,930,1580,15272,10578,101
931,931,2028,15272,10578,101
932,932,2100,15272,10578,101
933,933,1288,15272,10578,101
934,934,992,15272,10584,101
935,935,1504,15272,10584,101
936,936,1288,15272,10584,101
